N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
121,LS,"56,000","3,200",-5.41%,"5,000","18,032","32,200",11.50,"363,627",-41.45,0.80,
122,팬오션,"3,370",110,-3.16%,"1,000","18,015","534,569",11.37,"1,482,471",12.21,5.49,
123,현대로템,"16,250",750,-4.41%,"5,000","17,736","109,142",3.50,"2,287,175",-4.87,-37.93,
124,대웅,"30,250",650,-2.10%,500,"17,588","58,142",7.14,"378,844",37.81,10.43,
125,LS ELECTRIC,"58,500","1,000",-1.68%,"5,000","17,550","30,000",15.20,"140,318",18.05,7.82,
126,진원생명과학,"39,000","9,000",+30.00%,"1,000","17,428","44,688",10.53,"40,538,905",-133.11,-28.50,
127,만도,"37,100","1,200",+3.34%,"1,000","17,421","46,957",24.15,"1,827,602",-42.06,7.55,
128,포스코인터내셔널,"14,000",150,+1.08%,"5,000","17,273","123,375",16.14,"291,777",9.64,7.06,
129,두산인프라코어,"8,140",60,+0.74%,"5,000","17,103","210,107",4.83,"12,246,795",12.35,11.59,
130,BNK금융지주,"5,100",40,-0.78%,"5,000","16,623","325,935",47.04,"671,435",3.19,7.07,
131,태영건설,"21,600",0,0.00%,500,"16,502","76,400",7.30,0,25.00,8.38,
132,영진약품,"9,020",280,-3.01%,500,"16,497","182,893",4.60,"4,385,726",693.85,4.43,
133,DB하이텍,"37,000",50,-0.13%,"5,000","16,427","44,399",31.13,"634,089",10.13,17.40,
134,한솔케미칼,"144,000","6,000",-4.00%,"5,000","16,265","11,295",32.00,"72,742",15.65,20.88,
135,KODEX 단기채권,"102,480",0,0.00%,0,"16,232","15,839",3.79,"9,422",N/A,N/A,
136,현대엘리베이,"40,750",450,-1.09%,"5,000","15,766","38,690",24.44,"194,403",28.16,5.22,
137,효성,"74,500",100,+0.13%,"5,000","15,698","21,071",5.65,"104,179",57.48,4.25,
138,일양약품,"80,100","7,300",-8.35%,"2,500","15,288","19,086",8.53,"1,645,482",164.81,5.20,
139,한국테크놀로지그룹,"16,150",150,+0.94%,500,"15,023","93,020",6.29,"2,364,414",11.95,4.71,
140,LG생활건강우,"714,000","7,000",-0.97%,"5,000","14,992","2,100",87.55,"1,718",16.28,N/A,
141,NHN,"76,300","2,200",-2.80%,500,"14,928","19,565",11.11,"108,895",58.11,0.78,
142,메리츠화재,"13,050",150,-1.14%,500,"14,835","113,680",11.76,"163,347",4.22,12.80,
143,더블유게임즈,"79,800",300,+0.38%,500,"14,663","18,375",16.40,"314,434",13.90,18.93,
144,HDC현대산업개발,"22,200",950,-4.10%,"5,000","14,631","65,907",8.89,"916,316",3.15,20.30,
145,OCI,"60,000","2,800",-4.46%,"5,000","14,310","23,849",16.28,"330,605",-1.77,-26.20,
146,KODEX 종합채권(AA-이상)액티브,"110,585",25,+0.02%,0,"13,573","12,274",0.00,"4,687",N/A,N/A,
147,현대백화점,"57,200",400,+0.70%,"5,000","13,386","23,402",17.37,"318,512",10.58,4.64,
148,한화생명,"1,540",25,-1.60%,"5,000","13,375","868,530",7.65,"2,793,983",7.94,0.51,
149,KCC,"150,500","5,000",-3.22%,"5,000","13,374","8,886",13.86,"55,828",-635.02,-4.37,
150,대웅제약,"115,000",500,-0.43%,"2,500","13,325","11,587",4.94,"88,345",-537.38,4.34,
151,한화에어로스페이스,"26,300",700,-2.59%,"5,000","13,316","50,630",15.89,"355,139",12.43,5.45,
152,F&F,"85,900","1,200",-1.38%,500,"13,229","15,400",10.19,"39,881",12.87,25.13,
153,KODEX 삼성그룹,"7,720",90,-1.15%,0,"13,132","170,100",0.03,"435,940",N/A,N/A,
154,SK디스커버리,"68,200","3,500",-4.88%,"5,000","12,984","19,038",10.00,"320,384",5.31,11.52,
155,한화시스템,"11,750",300,-2.49%,"5,000","12,952","110,230",1.53,"1,073,265",16.64,8.15,
156,롯데정밀화학,"50,100","2,200",-4.21%,"5,000","12,926","25,800",24.28,"169,335",6.61,11.73,
157,영원무역,"29,000",400,-1.36%,500,"12,850","44,311",22.75,"128,789",9.13,9.82,
158,아이에스동서,"41,150",750,-1.79%,500,"12,712","30,893",5.29,"73,328",21.76,6.10,
159,유나이티드제약,"77,500","10,000",-11.43%,500,"12,590","16,245",9.79,"1,370,699",40.39,12.79,
160,한전KPS,"27,750",250,-0.89%,200,"12,488","45,000",13.89,"150,433",7.86,14.98,
161,현대오토에버,"59,100","1,200",-1.99%,500,"12,411","21,000",1.05,"176,902",21.58,11.71,
